date,season,tm_home,tm_away,pts_home,pts_away,prob_home
2005-11-18,2005,PHO,UTA,102,94,0.8771811577922564
2005-11-18,2005,POR,GSW,80,91,0.397796817625459
2005-11-18,2005,SAC,MIL,103,82,0.6349897540983607
2005-11-19,2005,BRK,WAS,89,83,0.6349897540983607
2005-11-19,2005,DAL,DET,119,82,0.5616080589497249
2005-11-19,2005,MIN,CHO,102,89,0.8490646342280425
2005-11-19,2005,ORL,NOP,95,98,0.7505221629148294
2005-11-19,2005,PHI,CLE,120,123,0.45685279187817257
2005-11-19,2005,SAS,PHO,97,91,0.8230347431471681
2005-11-19,2005,UTA,MEM,72,80,0.26698229308872284
2005-11-20,2005,DEN,MEM,99,83,0.6554939057667819
2005-11-20,2005,IND,HOU,85,74,0.789141393542914
2005-11-20,2005,LAC,GSW,113,101,0.6554939057667819
2005-11-20,2005,LAL,CHI,93,96,0.6349897540983607
2005-11-20,2005,NYK,POR,103,92,0.7184684684684686
2005-11-20,2005,OKC,SAC,106,104,0.5697382574399427
2005-11-20,2005,TOR,MIA,107,94,0.325
2005-11-21,2005,GSW,BRK,100,97,0.5293662562052738
2005-11-21,2005,PHI,NOP,103,91,0.8230347431471681
2005-11-21,2005,SAC,SAS,93,96,0.2897350993377483
2005-11-21,2005,UTA,MIL,100,80,0.36327734389833294
2005-11-22,2005,CLE,BOS,115,93,0.8490646342280425
2005-11-22,2005,DAL,HOU,102,93,0.8079445696411153
2005-11-22,2005,MEM,POR,87,95,0.8351245428894727
2005-11-22,2005,OKC,UTA,87,93,0.8351245428894727
2005-11-22,2005,PHO,TOR,90,82,0.8351245428894727
2005-11-22,2005,WAS,DEN,105,108,0.6349897540983607
2005-11-23,2005,ATL,BOS,120,117,0.43762053107847504
2005-11-23,2005,CHO,NYK,108,95,0.5697382574399427
2005-11-23,2005,DET,DEN,114,89,0.8351245428894727
2005-11-23,2005,GSW,SAS,89,113,0.3795145550087581
2005-11-23,2005,HOU,PHO,88,100,0.5381158455392809
2005-11-23,2005,LAC,TOR,103,100,0.901453632898506
2005-11-23,2005,MIA,POR,100,79,0.8351245428894727
2005-11-23,2005,MIL,PHI,108,97,0.5293662562052738
2005-11-23,2005,NOP,MIN,84,80,0.3795145550087581
2005-11-23,2005,ORL,WAS,91,83,0.397796817625459
2005-11-23,2005,SAC,BRK,114,105,0.6349897540983607
2005-11-24,2005,IND,CLE,98,76,0.5697382574399427
2005-11-24,2005,LAL,OKC,108,96,0.6185623601278026
2005-11-25,2005,BOS,CHO,90,89,0.6932487904343705
2005-11-25,2005,DEN,LAC,105,95,0.6185623601278026
2005-11-25,2005,DET,WAS,114,120,0.8351245428894727
2005-11-25,2005,IND,ATL,85,87,0.8490646342280425
2005-11-25,2005,MEM,HOU,86,81,0.7505221629148294
2005-11-25,2005,MIA,DAL,90,103,0.4908340971585702
2005-11-25,2005,MIN,MIL,99,91,0.6932487904343705
2005-11-25,2005,ORL,POR,104,89,0.5990800596718051
2005-11-25,2005,PHO,BRK,92,81,0.6349897540983607
2005-11-25,2005,SAC,TOR,106,104,0.789141393542914
2005-11-25,2005,SAS,CHI,99,106,0.8670618880804816
2005-11-25,2005,UTA,GSW,90,94,0.4179498460184778
2005-11-26,2005,CHO,WAS,100,82,0.5240193918025562
2005-11-26,2005,CLE,MIN,85,89,0.8230347431471681
2005-11-26,2005,DAL,MEM,92,112,0.7305317733738104
2005-11-26,2005,GSW,TOR,117,91,0.8079445696411153
2005-11-26,2005,HOU,CHI,89,94,0.5293662562052738
2005-11-26,2005,MIL,DET,76,85,0.36327734389833294
2005-11-26,2005,NYK,PHI,105,102,0.43762053107847504
2005-11-26,2005,OKC,NOP,99,105,0.7505221629148294
2005-11-26,2005,ORL,MIA,80,77,0.43762053107847504
2005-11-27,2005,ATL,POR,75,77,0.5990800596718051
2005-11-27,2005,LAC,IND,92,97,0.5616080589497249
2005-11-27,2005,LAL,BRK,96,102,0.5240193918025562
2005-11-28,2005,BOS,ORL,83,87,0.6554939057667819
2005-11-28,2005,DEN,BRK,92,101,0.789141393542914
2005-11-28,2005,GSW,NOP,99,83,0.789141393542914
2005-11-28,2005,MIA,NYK,107,94,0.7505221629148294
2005-11-28,2005,TOR,DAL,91,93,0.23230969250461095
2005-11-29,2005,CHI,ORL,85,76,0.7505221629148294
2005-11-29,2005,HOU,ATL,100,85,0.8351245428894727
2005-11-29,2005,MIL,DAL,113,111,0.47257126679587974
2005-11-29,2005,MIN,LAC,84,93,0.5697382574399427
2005-11-29,2005,PHI,POR,107,83,0.8351245428894727
2005-11-29,2005,SAC,CHO,110,92,0.7505221629148294
2005-11-29,2005,SAS,LAL,90,84,0.901453632898506
2005-11-29,2005,UTA,IND,60,84,0.397796817625459
2005-11-30,2005,ATL,MIA,74,96,0.32150863255594453
2005-11-30,2005,BOS,PHI,110,103,0.5240193918025562
2005-11-30,2005,BRK,DET,83,93,0.3795145550087581
